StatId	DisplayName_en	Description_en	DisplayName_ru	Description_ru	IconName
ACT1_HAG_HagMask	Whispering Mask	Soft, unintelligible whispers seep from the dark wood, ringing in your ears and resounding in your skull.	Шепчущая маска	Вам кажется, что откуда-то из глубины темной древесины доносится неясный шепот. Он звенит у вас в ушах и гулко отзывается в голове.	Item_DEC_HAG_Mask_A
ALCH_Ingredient_Part_HyenaEar	Hyena Ear	Soft, patchy and ragged, the ears are one of the more appealing parts of a hyena's corpse. 	Ухо гиены	Драное, с проплешинами ухо. В сравнении с цельным трупом гиены даже почти не вызывает отвращения.	Item_LOOT_Alchemy_Hyena_Ear_A
ARM_Amulet	Necklace	Smells a bit rusty, but looks stylish nonetheless.	Ожерелье	Немного ржавое, но все еще очень элегантное ожерелье.	Item_LOOT_GEN_Amulet_Necklace_Magic_A_Blue
ARM_Amulet_Necklace_A_Bronze_Green	Amulet of the Absolute	These grisly trinkets started popping up with the rise of the Cult of the Absolute. While the skull and triangle are made from cheap pewter, rumours suggest the red handprint is made exclusively with blood from ritual sacrifice.	Амулет Абсолют	Эти жутковатые побрякушки появляются все чаще по мере возвышения культа Абсолют. Череп и треугольник отлиты из дешевого оловянного сплава, но поговаривают, что красный отпечаток ладони — это кровь, оставшаяся после ритуальных жертвоприношений.	Item_LOOT_GEN_Amulet_Absolute_A
ARM_Amulet_Necklace_A_Gold_Purple	Gold Pendant	Though this necklace looks simple in design, the tiny filigreed triangles holding the gemstone in place demonstrate the jeweller's skill.	Золотая подвеска	Это ожерелье выглядит неброско, но филигранная оправа драгоценного камня свидетельствует о мастерстве ювелира.	Item_LOOT_GEN_Amulet_Necklace_A_Gold_A
ARM_Amulet_Necklace_A_Silver_Orange	Barnabus' Collar	Necklace the Gnoll Master gave Barnabus when she first met him.	Ошейник Барнабуса	Ошейник, который повелительница гноллов подарила Барнабусу, когда впервые его встретила.	Item_LOOT_GEN_Amulet_Necklace_A_Silver_A
ARM_Amulet_Necklace_B_Bronze_A	Bronze Necklace	Though shining brightly, this necklace smells distinctively of rust.	Бронзовое ожерелье	Это ожерелье ярко блестит, но сильно пахнет ржавчиной.	Item_LOOT_GEN_Amulet_Necklace_B_Bronze_A
ARM_Amulet_Necklace_B_Gold_A	Gold Necklace	Tiny, ageless flower petals fill the amber stones of this necklace.	Золотое ожерелье	В кусочках янтаря застыли крошечные лепестки древних цветов.	Item_LOOT_GEN_Amulet_Necklace_B_Gold_A
ARM_Amulet_Necklace_B_Silver_A	Silver Necklace	Sapphire necklaces are popular among Baldur's Gate's patriars as mourning garb - the heavy teardrop-shaped stones represent the weight of their loss.	Серебряное ожерелье	Сапфировые ожерелья во Вратах Балдура надевают отцы города во время траура — тяжелые камни в виде слезинок символизируют тяжесть потери.	Item_LOOT_GEN_Amulet_Necklace_B_Silver_A
ARM_Amulet_Necklace_C_Bronze_A	Burnished Necklace	Bright and polished, this necklace was clearly cherished by its previous owner.	Начищенное ожерелье	Тщательно отполированное ожерелье ярко сверкает. Видно, что предыдущий владелец им дорожил.	Item_LOOT_GEN_Amulet_Necklace_C_Bronze_A
ARM_Amulet_Necklace_C_Gold_A	Burnished Necklace	The deep emerald stones on this chain sparkle like Eldath's eyes.	Начищенное ожерелье	Темные изумруды в этом ожерелье сверкают, словно глаза Эльдат.	Item_LOOT_GEN_Amulet_Necklace_C_Gold_A
ARM_Amulet_Necklace_C_Silver_A	Burnished Necklace	Set with gems harvested from deep within the Underdark, this necklace has a dark lustre.	Начищенное ожерелье	Драгоценные камни из Подземья придают ожерелью некое мрачное очарование.	Item_LOOT_GEN_Amulet_Necklace_C_Silver_A
ARM_Amulet_Necklace_D_Bronze_Green	Bronze Pendant	The interlocked bronze links of this necklace tinkle softly every time you move.	Бронзовая подвеска	Бронзовые звенья цепочки тихо позвякивают при каждом движении.	Item_LOOT_GEN_Amulet_Necklace_D_Bronze_A
ARM_Amulet_Necklace_D_Gold_Blue	Gold Pendant	Heavily embossed with filigree, this necklace reflects light in all directions.	Золотая подвеска	Это ожерелье все покрыто филигранными узорами и ярко сверкает на свету.	Item_LOOT_GEN_Amulet_Necklace_D_Gold_A
ARM_Amulet_Necklace_D_Silver_Purple	Silver Pendant	This cold, heavy pendant is slow to warm to the touch.	Серебряная подвеска	Эта холодная, тяжелая подвеска долго не нагревается от тепла ладони.	Item_LOOT_GEN_Amulet_Necklace_D_Silver_A
ARM_Amulet_Necklace_E_Pearl_A	Pearl Necklace	Tiny rainbows reflect in the pearls' iridescent shine.	Жемчужное ожерелье	Жемчужины переливаются радужным сиянием.	Item_LOOT_GEN_Amulet_Necklace_E_Pearl_A
ARM_Amulet_Necklace_F_Bronze_A	Polished Necklace	Heavily set with gemstones, this necklace weighs more than expected.	Отполированное ожерелье	Из-за большого количества драгоценных камней это ожерелье весит больше, чем можно было бы ожидать.	Item_LOOT_GEN_Amulet_Necklace_F_Bronze_A
ARM_Amulet_Necklace_F_Gold_A	Polished Necklace	It is said that wearing a ruby near the heart will increase a lover's courage.	Отполированное ожерелье	Говорят, если носить у сердца рубин, то станешь смелее в любви.	Item_LOOT_GEN_Amulet_Necklace_F_Gold_A
ARM_Amulet_Necklace_F_Silver_B	Polished Necklace	Fine strips of silver snake around the emeralds in this necklace, holding them firmly in place.	Отполированное ожерелье	Это ожерелье сделано из изумрудов в прочной оправе из серебра.	Item_LOOT_GEN_Amulet_Necklace_F_Silver_A
ARM_Barbarian	Barbarian Clothes	A rough combination of furs, leathers, and supple fabrics, made for a life outside civilisation.	Одежды варвара	Грубо сшитая одежда из кусков меха, кожи и ткани, рассчитанная на жизнь за пределами цивилизации.	Item_ARM_Barbarian
