EntryName	Type	DisplayName_en	Description_en	DisplayName_ru	Description_ru
ABERRANT_SHAPE	StatusData	Aberrant Shape		Облик аберрации	
ACID	StatusData	Acid	Reduces &lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; by 2.	Кислота	Снижает &lt;LSTag Tooltip="ArmourClass"&gt;класс брони&lt;/LSTag&gt; на 2.
ACID_ARROW	StatusData	Melf's Acid Arrow	Takes [1] at end of their turn.	Кислотная стрела Мелфа	Получает [1] в конце своего хода.
ACTION_SURGE	StatusData	Action Surge	Can take an extra &lt;LSTag Tooltip="Action"&gt;action&lt;/LSTag&gt; this turn.	Порыв к действию	Может выполнить за этот ход одно дополнительное &lt;LSTag Tooltip="Action"&gt;действие&lt;/LSTag&gt;.
AID	StatusData	Aid	Hit point maximum increased by [1].	Помощь	Макс. запас очков здоровья увеличен на [1].
AI_HELPERS	StatusData	%%% EMPTY			
AI_NO_LOOK_AT_BATTLE	StatusData	%%% EMPTY			
AI_STATUS_FAKE	StatusData	%%% Fake Status			
ALCH_POTION_REMEDY	StatusData	Remedial Potion	Cures &lt;LSTag Type="Status" Tooltip="BLINDED"&gt;Blinded&lt;/LSTag&gt;, &lt;LSTag Type="Status" Tooltip="SILENCED"&gt;Silenced&lt;/LSTag&gt;, &lt;LSTag Type="Status" Tooltip="PARALYZED"&gt;Paralysed&lt;/LSTag&gt;, and &lt;LSTag Type="Status" Tooltip="POISONED"&gt;Poisoned&lt;/LSTag&gt; creatures.	Целебное зелье	Исцеляет существ от &lt;LSTag Type="Status" Tooltip="BLINDED"&gt;слепоты&lt;/LSTag&gt;, &lt;LSTag Type="Status" Tooltip="SILENCED"&gt;немоты&lt;/LSTag&gt;, &lt;LSTag Type="Status" Tooltip="PARALYZED"&gt;паралича&lt;/LSTag&gt; и &lt;LSTag Type="Status" Tooltip="POISONED"&gt;отравления&lt;/LSTag&gt;.
ALCH_TOXIN_BASIC_CONDITION	StatusData	Simple Toxin	Affected entity takes [1] at the end of its next turn.	Простой токсин	Существо получает [1] в конце своего следующего хода.
ALCH_TOXIN_BASIC_DIPPED	StatusData	Coated in Toxin	Targets take [1] at the end of their next turn, unless they succeed a Constitution &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throw&lt;/LSTag&gt;.	Покрыто токсином	Цели получают [1] в конце своего следующего хода, если только не пройдут &lt;LSTag Tooltip="SavingThrow"&gt;испытание&lt;/LSTag&gt; выносливости &lt;LSTag Tooltip="DifficultyClass"&gt;КС&lt;/LSTag&gt; 11.
ALCH_TOXIN_PURPLEWORM_CONDITION	StatusData	Purple Worm Toxin	Affected entity takes [1] at the end of its next turn.	Токсин пурпурного червя	Существо получает [1] в конце своего следующего хода.
ALCH_TOXIN_SERPENTVENOM_CONDITION	StatusData	Serpent Fang Toxin	Affected entity takes [1] at the end of its next turn.	Токсин змеиного зуба	Существо получает [1] в конце своего следующего хода.
ALCH_TOXIN_WYVERN_CONDITION	StatusData	Wyvern Toxin	Affected entity takes [1] at the end of its next turn.	Токсин виверны	Существо получает [1] в конце своего следующего хода.
ALTER_SELF_DROW	StatusData	Alter Self		Иной облик	
AMBUSHING	StatusData	Ambushing	Affected entity will attack as soon as its enemies are within reach. It can only be spotted with a successful Perception &lt;LSTag Tooltip="AbilityCheck"&gt;Check&lt;/LSTag&gt;.	В засаде	Существо приготовилось напасть, как только противники окажутся в зоне его досягаемости. Его можно обнаружить, успешно пройдя &lt;LSTag Tooltip="AbilityCheck"&gt;проверку&lt;/LSTag&gt; внимания.
ANIMATION	StatusData	%%% EMPTY		ПУСТО	
ANIM_OVERRIDE_HELPER	StatusData	%%%|Animation Override|			
ANTITOXIN	StatusData	Antidote	Neutralises the effects of all poisons.	Противоядие	Нейтрализует действие любых ядов.
ARCANE_LOCK	StatusData	Arcane Lock	Locked through magical means. Can't be opened by lockpicking or the use of &lt;LSTag Type="Spell" Tooltip="Target_Knock"&gt;Knock&lt;/LSTag&gt;.	Волшебный замок	Заперто магическим способом. Нельзя открыть отмычкой или &lt;LSTag Type="Spell" Tooltip="Target_Knock"&gt;«Стуком»&lt;/LSTag&gt;.
ARCANE_LOCK_OWNER	StatusData	%%% EMPTY			
ARCANE_TELEPORT_PLATFORM	StatusData	%%% EMPTY		ПУСТО	
ARMOR_OF_AGATHYS	StatusData	Armour of Agathys	Gained [2] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;temporary hit points&lt;/LSTag&gt;. If hit with a melee attack, the attacker takes [1] and this effect ends.	Броня Агафиса	Существо получило [2] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;временных ОЗ&lt;/LSTag&gt;. Поражающий его атакой ближнего боя сам получит [1], после чего эффект закончится.
ARMS_OF_HADAR	StatusData	Arms of Hadar	Can't take reactions.	Руки Хадара	Не может предпринимать ответные действия.
ASTARION_HAPPY	StatusData	Happy	Astarion's vampiric hunger has been temporarily sated. +1 to all &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt;, &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;, and most &lt;LSTag Tooltip="AbilityCheck"&gt;Ability Checks&lt;/LSTag&gt;.	Счастье	Голод Астариона временно утолен. Он получает +1 ко всем &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt;, &lt;LSTag Tooltip="SavingThrow"&gt;испытаниям&lt;/LSTag&gt; и большинству &lt;LSTag Tooltip="AbilityCheck"&gt;проверок навыков&lt;/LSTag&gt;.
ASTARION_WEAK	StatusData	Bloodless	Feels a bit woozy. -1 to &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt;, &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;, and most &lt;LSTag Tooltip="AbilityCheck"&gt;Ability Checks&lt;/LSTag&gt;.	Кровопотеря	У вас немного кружится голова. Штраф -1 ко всем &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt;, &lt;LSTag Tooltip="SavingThrow"&gt;испытаниям&lt;/LSTag&gt; и большинству &lt;LSTag Tooltip="AbilityCheck"&gt;проверок навыков&lt;/LSTag&gt;.
